,"A l: 0, m: -1","P l: 0, m: -1","A l: 0, m: 0","P l: 0, m: 0","A l: 0, m: 1","P l: 0, m: 1","A l: 1, m: -1","P l: 1, m: -1","A l: 1, m: 0","P l: 1, m: 0","A l: 1, m: 1","P l: 1, m: 1","A l: 2, m: -1","P l: 2, m: -1","A l: 2, m: 0","P l: 2, m: 0","A l: 2, m: 1","P l: 2, m: 1","A l: 3, m: -1","P l: 3, m: -1","A l: 3, m: 0","P l: 3, m: 0","A l: 3, m: 1","P l: 3, m: 1",0
18,,,,,,,,,,,,,,,,,,,,,,,,,0.0
19,,,,,,,,,,,,,,,,,,,,,,,,,0.018739799343705357
20,,,,,,,,,,,,,,,,,,,,,,,,,0.0
21,,,,,,,,,,,,,,,,,,,,,,,,,0.028734102742832453
22,,,,,,,,,,,,,,,,,,,,,,,,,0.03437151637985941
23,,,,,,,,,,,,,,,,,,,,,,,,,0.02873410274281962
24,,,,,,,,,,,,,,,,,,,,,,,,,0.02430682252527476
25,,,,,,,,,,,,,,,,,,,,,,,,,0.028435864330407228
26,,,,,,,,,,,,,,,,,,,,,,,,,0.024306822525489956
27,,,,,,,,,,,,,,,,,,,,,,,,,0.03767937938115965
28,,,,,,,,,,,,,,,,,,,,,,,,,0.045766566650317406
29,,,,,,,,,,,,,,,,,,,,,,,,,0.03767937938129063
